ts,loss,acc,val_loss,val_acc
1571330290,0.150557503104,0.8,0.159583210945,0.76
1571330291,0.124392688274,0.83,0.164218902588,0.76
1571330291,0.124632410705,0.83,0.11961620301,0.8
1571330291,0.139205604792,0.82,0.160736009479,0.76
1571330291,0.141004368663,0.76,0.179182350636,0.72
1571330291,0.131993919611,0.82,0.152664020658,0.8
1571330291,0.133011639118,0.79,0.178700387478,0.74
1571330292,0.152238875628,0.79,0.182359784842,0.77
1571330292,0.188102006912,0.75,0.167748987675,0.75
1571330292,0.141024082899,0.78,0.165536597371,0.76
1571330292,0.127787798643,0.83,0.141373053193,0.82
1571330292,0.170389831066,0.78,0.143117398024,0.79
1571330292,0.181473866105,0.75,0.177858382463,0.74
1571330293,0.133229583502,0.81,0.176463738084,0.72
1571330293,0.117903612554,0.85,0.128672778606,0.82
1571330293,0.163012072444,0.79,0.173945978284,0.74
1571330293,0.119130410254,0.85,0.136516168714,0.8
1571330293,0.130932539701,0.8,0.160923272371,0.8
1571330294,0.150908201933,0.78,0.146909549832,0.78
1571330294,0.137810394168,0.78,0.147105336189,0.77
1571330294,0.134559422731,0.82,0.18290425837,0.7
1571330294,0.186070725322,0.77,0.19078707695,0.73
1571330294,0.158390790224,0.73,0.176228657365,0.73
1571330294,0.142484948039,0.8,0.177428036928,0.7
1571330295,0.197008103132,0.71,0.136428028345,0.84
1571330295,0.14014865458,0.84,0.162819430232,0.76
1571330295,0.169670000672,0.72,0.142117574811,0.8
1571330295,0.160065695643,0.77,0.199110865593,0.68
1571330295,0.169260412455,0.75,0.140305280685,0.79
1571330295,0.119224645197,0.83,0.172333031893,0.71
1571330296,0.149239301682,0.81,0.158019661903,0.74
1571330296,0.151116088033,0.81,0.17803581059,0.71
1571330296,0.143623486161,0.83,0.170433014631,0.74
1571330296,0.144578635693,0.78,0.165896341205,0.76
1571330296,0.105897247791,0.86,0.165335118771,0.77
1571330296,0.147991225123,0.81,0.155427455902,0.71
1571330297,0.112533479929,0.87,0.1773622334,0.76
1571330297,0.144391641021,0.76,0.144811823964,0.74
1571330297,0.127302229404,0.8,0.129566580057,0.8
1571330297,0.107033200562,0.88,0.186593472958,0.71
1571330297,0.160796657205,0.78,0.127074822783,0.82
1571330297,0.164454340935,0.74,0.144041061401,0.82
1571330297,0.154494792223,0.79,0.169639647007,0.79
1571330298,0.113848522305,0.85,0.176963537931,0.74
1571330298,0.145419046283,0.76,0.202496036887,0.66
1571330298,0.158676534891,0.78,0.123341478407,0.82
1571330298,0.117062695324,0.81,0.138628259301,0.82
1571330298,0.140814065933,0.82,0.145881086588,0.79
1571330298,0.164548933506,0.74,0.133878231049,0.82
1571330299,0.12501733005,0.81,0.168047919869,0.76
1571330299,0.138522833586,0.79,0.164620697498,0.74
1571330299,0.117285758257,0.84,0.174514308572,0.78
1571330299,0.150894746184,0.8,0.144976183772,0.78
1571330299,0.150406077504,0.76,0.133879169822,0.8
1571330299,0.134443983436,0.82,0.172292724252,0.74
1571330300,0.144321143627,0.78,0.149005904794,0.77
1571330300,0.164243981242,0.8,0.163144275546,0.75
1571330300,0.14734762907,0.79,0.221812412143,0.62
1571330300,0.146634191275,0.79,0.203778848052,0.67
1571330300,0.172052517533,0.78,0.15337741375,0.74
1571330301,0.150926485658,0.8,0.182391479611,0.7
1571330301,0.133368209004,0.8,0.151843205094,0.78
1571330301,0.139412567019,0.8,0.169159039855,0.75
1571330301,0.150178834796,0.78,0.121778771281,0.82
1571330301,0.130475252867,0.85,0.165907621384,0.75
1571330301,0.145999416709,0.81,0.141641721129,0.78
1571330301,0.107456788421,0.87,0.149854525924,0.78
1571330302,0.123683914542,0.84,0.194871425629,0.72
1571330302,0.153391242027,0.78,0.178002014756,0.74
1571330302,0.141494452953,0.8,0.190594702959,0.72
1571330302,0.154415771365,0.79,0.178803443909,0.68
1571330302,0.120182991028,0.86,0.155791923404,0.77
1571330303,0.161131843925,0.75,0.172762453556,0.76
1571330303,0.161330163479,0.76,0.18154810369,0.75
1571330303,0.129146635532,0.83,0.183630779386,0.75
1571330303,0.136766448617,0.82,0.151196941733,0.74
1571330303,0.132253810763,0.82,0.122424967587,0.83
1571330303,0.167783394456,0.75,0.170001536608,0.76
1571330303,0.118840478361,0.85,0.166934028268,0.77
1571330304,0.131867513061,0.84,0.130760073662,0.81
1571330304,0.170385122299,0.75,0.154780030251,0.77
1571330304,0.124243974686,0.82,0.176206335425,0.72
1571330304,0.125528588891,0.84,0.164592713118,0.78
1571330304,0.147586971521,0.8,0.126471161842,0.84
1571330304,0.1419993788,0.81,0.184480786324,0.74
1571330305,0.142660647631,0.83,0.123539105058,0.82
1571330305,0.162409350276,0.81,0.164532959461,0.76
1571330305,0.0948327481747,0.94,0.135636135936,0.78
1571330305,0.098646081984,0.92,0.175940334797,0.74
1571330305,0.161654323339,0.74,0.163771018386,0.79
1571330305,0.177894383669,0.75,0.134067624807,0.79
1571330306,0.13127091527,0.83,0.102161750197,0.89
1571330306,0.120536193252,0.84,0.221471384168,0.67
1571330306,0.133572816849,0.83,0.200227111578,0.74
1571330306,0.120098121464,0.83,0.206921622157,0.7
1571330306,0.149319946766,0.79,0.125026583672,0.82
1571330306,0.143548727036,0.81,0.142166212201,0.79
1571330307,0.148079767823,0.8,0.132578894496,0.79
1571330307,0.139627695084,0.83,0.16019615531,0.77
1571330307,0.114431485534,0.89,0.165238067508,0.78
1571330307,0.122932247818,0.83,0.167061641812,0.73
1571330307,0.135915845633,0.79,0.179595842957,0.71
1571330307,0.126209542155,0.83,0.190480947495,0.72
1571330308,0.12028606236,0.83,0.184072852135,0.75
1571330308,0.124301299453,0.8,0.137700095773,0.84
1571330308,0.128501519561,0.81,0.149439021945,0.77
1571330308,0.165696695447,0.78,0.208334267139,0.68
1571330308,0.126701280475,0.79,0.173345923424,0.77
1571330308,0.125695943832,0.81,0.158753529191,0.76
1571330309,0.115858584642,0.86,0.149050161242,0.74
1571330309,0.145029366016,0.79,0.144496619701,0.8
1571330309,0.0901098176837,0.92,0.155864283442,0.74
1571330309,0.131019711494,0.82,0.152995929122,0.81
1571330309,0.122709453106,0.84,0.140227839351,0.81
1571330310,0.118547163904,0.84,0.141101911664,0.81
1571330310,0.160479366779,0.74,0.164715155959,0.8
1571330310,0.133698612452,0.81,0.1533677876,0.77
1571330310,0.113578610122,0.84,0.137701094151,0.79
1571330310,0.147138416767,0.77,0.146108746529,0.76
1571330310,0.115514270961,0.83,0.155595883727,0.77
1571330311,0.136438906193,0.82,0.150779128075,0.8
1571330311,0.152565911412,0.77,0.16718313098,0.74
1571330311,0.117562271655,0.84,0.151036247611,0.78
1571330311,0.126638546586,0.83,0.172256618738,0.75
1571330311,0.154981076717,0.77,0.184859380126,0.67
1571330311,0.137517601252,0.78,0.177388742566,0.71
1571330312,0.144814684987,0.81,0.163642331958,0.74
1571330312,0.174460411072,0.72,0.184427529573,0.74
1571330312,0.127949073911,0.79,0.14446477592,0.78
1571330312,0.134393021464,0.79,0.133198261261,0.79
1571330312,0.116670198739,0.85,0.126058518887,0.83
